Year,Team,Player,Runs,Wides,No_Balls,Venue,Match_Date
1975,India,Virat Kohli,71,4,1,"Eden Gardens, Kolkata",1975-07-03
1975,India,Virat Kohli,149,0,3,"Chinnaswamy, Bangalore",1975-06-11
1975,India,Virat Kohli,132,3,2,"Old Trafford, Manchester",1975-05-18
1975,India,Virat Kohli,96,4,1,"MCG, Melbourne",1975-05-13
1975,India,Sachin Tendulkar,73,2,3,"Old Trafford, Manchester",1975-01-01
1975,India,Sachin Tendulkar,150,5,1,"Lord's, London",1975-08-09
1975,India,Sachin Tendulkar,35,5,1,"Old Trafford, Manchester",1975-10-23
1975,India,Sachin Tendulkar,37,1,2,"Eden Gardens, Kolkata",1975-01-07
1975,India,Sachin Tendulkar,76,4,3,"Chinnaswamy, Bangalore",1975-02-09
1975,India,Sachin Tendulkar,12,5,1,"Lord's, London",1975-08-01
1975,India,Rohit Sharma,92,2,1,"Lord's, London",1975-01-05
1975,India,Rohit Sharma,95,5,0,"Chinnaswamy, Bangalore",1975-10-04
1975,India,Rohit Sharma,89,2,0,"Old Trafford, Manchester",1975-10-03
1975,India,MS Dhoni,63,0,1,"Eden Gardens, Kolkata",1975-09-08
1975,India,MS Dhoni,96,1,0,"Eden Gardens, Kolkata",1975-01-10
1975,India,MS Dhoni,137,4,3,"Wankhede, Mumbai",1975-11-15
1975,India,MS Dhoni,3,2,3,"Chinnaswamy, Bangalore",1975-11-11
1975,India,MS Dhoni,115,0,1,"Old Trafford, Manchester",1975-01-23
1975,India,Yuvraj Singh,9,3,2,"Eden Gardens, Kolkata",1975-07-15
1975,India,Yuvraj Singh,93,4,3,"Chinnaswamy, Bangalore",1975-06-28
1975,India,Yuvraj Singh,58,2,2,"Chinnaswamy, Bangalore",1975-04-23
1975,India,Yuvraj Singh,136,2,3,"Eden Gardens, Kolkata",1975-10-05
1975,India,Yuvraj Singh,41,4,3,"Chinnaswamy, Bangalore",1975-03-14
1975,Australia,Ricky Ponting,52,3,3,"Wankhede, Mumbai",1975-12-03
1975,Australia,Ricky Ponting,2,1,1,"Old Trafford, Manchester",1975-06-27
1975,Australia,Ricky Ponting,20,5,3,"Lord's, London",1975-11-04
1975,Australia,Ricky Ponting,107,0,2,"Lord's, London",1975-10-07
1975,Australia,Ricky Ponting,90,3,2,"Lord's, London",1975-05-07
1975,Australia,Ricky Ponting,53,5,2,"MCG, Melbourne",1975-03-01
1975,Australia,Ricky Ponting,63,3,0,"Wankhede, Mumbai",1975-08-21
1975,Australia,Ricky Ponting,91,5,0,"Lord's, London",1975-02-08
1975,Australia,Glenn Maxwell,62,2,3,"Lord's, London",1975-02-04
1975,Australia,Glenn Maxwell,39,5,1,"Chinnaswamy, Bangalore",1975-08-26
1975,Australia,Glenn Maxwell,30,4,2,"Chinnaswamy, Bangalore",1975-07-14
1975,Australia,Glenn Maxwell,21,4,0,"Lord's, London",1975-11-11
1975,Australia,Glenn Maxwell,0,5,0,"Wankhede, Mumbai",1975-11-25
1975,Australia,Glenn Maxwell,104,0,3,"MCG, Melbourne",1975-02-16
1975,Australia,Glenn Maxwell,121,2,2,"Old Trafford, Manchester",1975-08-11
1975,Australia,Steve Smith,95,5,0,"Eden Gardens, Kolkata",1975-08-05
1975,Australia,Steve Smith,97,4,1,"Wankhede, Mumbai",1975-01-01
1975,Australia,Steve Smith,130,1,3,"Eden Gardens, Kolkata",1975-05-05
1975,Australia,Steve Smith,92,3,1,"Lord's, London",1975-09-24
1975,Australia,Steve Smith,102,3,3,"Lord's, London",1975-08-24
1975,Australia,Steve Smith,68,1,1,"Chinnaswamy, Bangalore",1975-04-25
1975,Australia,Steve Smith,61,3,3,"Old Trafford, Manchester",1975-08-23
1975,Australia,Steve Smith,136,3,2,"Wankhede, Mumbai",1975-05-27
1975,Australia,Steve Smith,124,2,1,"Lord's, London",1975-08-14
1975,Australia,David Warner,99,0,3,"Old Trafford, Manchester",1975-11-20
1975,Australia,David Warner,106,0,1,"Eden Gardens, Kolkata",1975-08-08
1975,Australia,David Warner,60,2,2,"Chinnaswamy, Bangalore",1975-04-11
